%%% Data to be read on the pyvrft package %%%
%%% First experiment on the pilot plant %%%
%%% Organized as follows %%%
y1,y2,u1,u2
21.29,25.943,75,20
21.398,25.936,75,20
21.332,25.942,75,20
21.357,25.942,75,20
21.357,25.942,75,20
21.28,25.969,75,20
21.278,25.943,75,20
21.309,25.936,75,20
21.296,25.931,75,20
21.296,25.931,75,20
21.379,25.956,75,20
21.308,25.976,75,20
21.309,25.996,75,20
21.322,25.976,75,20
21.322,25.976,75,20
21.365,25.976,75,20
21.378,26.009,75,20
21.404,25.976,75,20
21.322,25.989,75,20
21.322,25.989,75,20
21.386,25.969,75,20
21.335,25.996,75,20
21.334,25.982,75,20
21.347,26.016,75,20
21.347,26.016,75,20
21.359,26.016,75,20
21.353,26.001,75,20
21.31,25.956,75,20
21.347,25.963,75,20
21.347,25.963,75,20
21.334,25.969,75,20
21.385,25.956,75,20
21.316,25.923,75,20
21.342,25.943,75,20
21.342,25.943,75,20
21.365,25.916,75,20
21.333,25.908,75,20
21.448,25.908,75,20
21.389,25.891,75,20
21.389,25.891,75,20
21.374,25.896,75,20
21.334,25.843,75,20
21.371,25.823,75,20
21.386,25.844,75,20
21.386,25.844,75,20
21.379,25.836,75,20
21.386,25.836,75,20
21.386,25.816,75,20
21.351,25.801,75,20
21.351,25.801,75,20
21.345,25.803,75,20
21.339,25.796,75,20
21.428,25.776,75,20
21.452,25.796,75,20
21.452,25.796,75,20
21.39,25.81,75,20
21.353,25.816,75,20
21.366,25.823,75,20
21.392,25.83,75,20
21.392,25.83,75,20
21.348,25.843,75,20
21.37,25.823,75,20
21.395,25.803,75,20
21.429,25.83,75,20
21.429,25.83,75,20
21.385,25.863,75,20
21.34,25.843,75,20
21.37,25.857,75,20
21.448,25.85,75,20
21.448,25.85,75,20
21.357,25.869,75,20
21.422,25.863,75,20
21.377,25.863,75,20
21.378,25.863,75,20
21.378,25.863,75,20
21.349,25.916,75,20
21.472,25.903,75,20
21.372,25.883,75,20
21.372,25.916,75,20
21.372,25.916,75,20
21.403,25.883,75,20
21.373,25.903,75,20
21.384,25.909,75,20
21.378,25.936,75,20
21.378,25.936,75,20
21.378,25.923,75,20
21.359,25.903,75,20
21.321,25.911,75,20
21.385,25.922,75,20
21.385,25.922,75,20
21.384,25.909,75,20
21.392,25.903,75,20
21.421,25.896,75,20
21.421,25.929,75,20
21.421,25.929,75,20
21.397,25.956,75,20
21.352,25.942,75,20
21.357,25.929,75,20
21.402,25.943,75,20
